city,lat,lon,date,temp,clouds,wind,rain
Paris,48.8588897,2.3200410217200766,2025-11-06,14.32,99,0.93,0.0
Paris,48.8588897,2.3200410217200766,2025-11-06,12.39,79,1.55,0.0
Paris,48.8588897,2.3200410217200766,2025-11-07,10.92,49,1.47,0.0
Paris,48.8588897,2.3200410217200766,2025-11-07,9.41,15,1.82,0.0
Paris,48.8588897,2.3200410217200766,2025-11-07,9.16,14,2.9,0.0
Paris,48.8588897,2.3200410217200766,2025-11-07,12.31,42,3.12,0.0
Paris,48.8588897,2.3200410217200766,2025-11-07,15.48,63,4.06,0.0
Paris,48.8588897,2.3200410217200766,2025-11-07,14.45,82,3.11,0.0
Paris,48.8588897,2.3200410217200766,2025-11-07,14.25,91,2.44,0.0
Paris,48.8588897,2.3200410217200766,2025-11-07,13.49,100,1.92,0.0
Paris,48.8588897,2.3200410217200766,2025-11-08,12.8,99,2.29,0.0
Paris,48.8588897,2.3200410217200766,2025-11-08,12.2,100,2.13,0.0
Paris,48.8588897,2.3200410217200766,2025-11-08,11.99,100,1.44,0.0
Paris,48.8588897,2.3200410217200766,2025-11-08,12.39,100,0.68,0.0
Paris,48.8588897,2.3200410217200766,2025-11-08,14.08,100,2.3,0.18
Paris,48.8588897,2.3200410217200766,2025-11-08,13.91,100,2.24,0.68
Paris,48.8588897,2.3200410217200766,2025-11-08,13.58,99,2.09,0.48
Paris,48.8588897,2.3200410217200766,2025-11-08,11.8,59,1.98,0.0
Paris,48.8588897,2.3200410217200766,2025-11-09,10.79,43,2.08,0.0
Paris,48.8588897,2.3200410217200766,2025-11-09,10.14,57,1.56,0.0
Paris,48.8588897,2.3200410217200766,2025-11-09,9.57,52,1.57,0.0
Paris,48.8588897,2.3200410217200766,2025-11-09,10.77,23,1.43,0.0
Paris,48.8588897,2.3200410217200766,2025-11-09,13.54,15,1.32,0.0
Paris,48.8588897,2.3200410217200766,2025-11-09,14.29,7,0.91,0.0
Paris,48.8588897,2.3200410217200766,2025-11-09,12.68,7,1.18,0.0
Paris,48.8588897,2.3200410217200766,2025-11-09,11.36,23,1.55,0.0
Paris,48.8588897,2.3200410217200766,2025-11-10,10.29,16,1.57,0.0
Paris,48.8588897,2.3200410217200766,2025-11-10,9.52,88,1.81,0.0
Paris,48.8588897,2.3200410217200766,2025-11-10,9.06,84,1.99,0.0
Paris,48.8588897,2.3200410217200766,2025-11-10,9.97,100,3.13,0.0
Paris,48.8588897,2.3200410217200766,2025-11-10,11.63,98,2.97,0.0
Paris,48.8588897,2.3200410217200766,2025-11-10,11.18,100,2.37,0.78
Paris,48.8588897,2.3200410217200766,2025-11-10,11.26,100,3.35,0.4
Paris,48.8588897,2.3200410217200766,2025-11-10,10.89,100,2.32,0.0
Paris,48.8588897,2.3200410217200766,2025-11-11,11.09,100,1.74,0.0
Paris,48.8588897,2.3200410217200766,2025-11-11,11.31,97,1.98,0.0
Paris,48.8588897,2.3200410217200766,2025-11-11,10.21,89,1.41,0.0
Paris,48.8588897,2.3200410217200766,2025-11-11,11.23,50,1.93,0.0
Paris,48.8588897,2.3200410217200766,2025-11-11,13.86,59,2.36,0.0
Paris,48.8588897,2.3200410217200766,2025-11-11,14.4,100,1.92,0.0
Marseille,43.2961743,5.3699525,2025-11-06,14.72,52,10.34,6.36
Marseille,43.2961743,5.3699525,2025-11-06,12.23,79,10.6,0.0
Marseille,43.2961743,5.3699525,2025-11-07,10.94,99,9.67,0.98
Marseille,43.2961743,5.3699525,2025-11-07,11.22,94,6.33,1.62
Marseille,43.2961743,5.3699525,2025-11-07,8.58,100,4.6,0.84
Marseille,43.2961743,5.3699525,2025-11-07,15.38,90,3.06,0.22
Marseille,43.2961743,5.3699525,2025-11-07,15.83,89,2.61,0.48
Marseille,43.2961743,5.3699525,2025-11-07,16.34,80,2.27,0.44
Marseille,43.2961743,5.3699525,2025-11-07,15.7,81,0.53,0.71
Marseille,43.2961743,5.3699525,2025-11-07,15.48,56,1.4,0.14
Marseille,43.2961743,5.3699525,2025-11-08,15.36,78,1.27,0.0
Marseille,43.2961743,5.3699525,2025-11-08,14.75,85,1.96,0.15
Marseille,43.2961743,5.3699525,2025-11-08,14.18,58,2.41,0.51
Marseille,43.2961743,5.3699525,2025-11-08,15.04,28,2.49,0.0
Marseille,43.2961743,5.3699525,2025-11-08,16.79,56,1.67,0.0
Marseille,43.2961743,5.3699525,2025-11-08,17.32,90,4.35,0.0
Marseille,43.2961743,5.3699525,2025-11-08,16.36,84,3.97,0.0
Marseille,43.2961743,5.3699525,2025-11-08,15.41,44,3.07,0.0
Marseille,43.2961743,5.3699525,2025-11-09,14.54,62,3.2,0.0
Marseille,43.2961743,5.3699525,2025-11-09,13.78,25,4.13,0.0
Marseille,43.2961743,5.3699525,2025-11-09,13.12,15,4.99,0.0
Marseille,43.2961743,5.3699525,2025-11-09,14.04,0,5.25,0.0
Marseille,43.2961743,5.3699525,2025-11-09,16.66,0,5.55,0.0
